No,R,PCC,XYZ,C Blue Red Yellow
102,....,[-0.15395682 -0.19665201 -0.29838382],[ 13.91458278   7.11234321   2.03799016],[ 0.   1.   0.1]
103,....,[-0.15850881 -0.20125472 -0.30319907],[ 13.75218938   7.05509207   1.61468094],[ 0.   1.   0.2]
104,....,[-0.1613852  -0.20382084 -0.30599394],[ 13.62263144   7.00395784   1.34760346],[ 0.   1.   0.3]
105,....,[-0.16341174 -0.205399   -0.30780122],[ 13.51046234   6.95661358   1.16121225],[ 0.   1.   0.4]
106,....,[-0.16493833 -0.2064205  -0.30904376],[ 13.409021     6.91193993   1.02271527],[ 0.   1.   0.5]
107,....,[ 0.20039447  0.25530752  0.31679931],[ 15.70848452  17.13351195  50.815224  ],[ 0.1  0.   0. ]
108,....,[-0.14458428 -0.13297908 -0.01350832],[  7.85358534  10.27978931   7.77403819],[ 0.1  0.   0.1]
109,....,[-0.16110815 -0.17934657 -0.05500599],[ 7.09694075  8.85885689  4.32665026],[ 0.1  0.   0.2]
110,....,[-0.16498664 -0.20058915 -0.07473818],[ 6.74614666  8.08554178  3.008998  ],[ 0.1  0.   0.3]
111,....,[-0.16617485 -0.21298076 -0.08693857],[ 6.52457569  7.56594606  2.31038831],[ 0.1  0.   0.4]
112,....,[-0.16655399 -0.22104048 -0.09551718],[ 6.36372453  7.17982122  1.8767671 ],[ 0.1  0.   0.5]
113,....,[-0.16665917 -0.2266107  -0.10203813],[ 6.2374947   6.87523716  1.58109249],[ 0.1  0.   0.6]
114,....,[-0.16667529 -0.23060526 -0.10726167],[ 6.13345001  6.62526733  1.36642611],[ 0.1  0.   0.7]
115,....,[-0.16667266 -0.2335361  -0.11160573],[ 6.04477482  6.41424131  1.20341039],[ 0.1  0.   0.8]
116,....,[-0.16667863 -0.23571497 -0.11532075],[ 5.96735649  6.23227835  1.0753613 ],[ 0.1  0.   0.9]
117,....,[-0.16670303 -0.23734369 -0.11856675],[ 5.8985326   6.07276885  0.97209085],[ 0.1  0.   1. ]
118,....,[-0.03716131 -0.05495192  0.00986512],[  7.94226794   6.01997583  16.50082928],[ 0.1  0.1  0. ]
119,....,[-0.13597643 -0.16335213 -0.08874801],[ 5.85421019  5.23527773  5.65771195],[ 0.1  0.1  0.1]
120,....,[-0.15453526 -0.18460077 -0.10837195],[ 5.44066428  4.93405636  3.5096641 ],[ 0.1  0.1  0.2]
121,....,[-0.16217275 -0.19432259 -0.11784369],[ 5.24954511  4.74500033  2.55906372],[ 0.1  0.1  0.3]
122,....,[-0.16621065 -0.20006531 -0.12381083],[ 5.13401267  4.60685571  2.01893407],[ 0.1  0.1  0.4]
123,....,[-0.168646   -0.20391383 -0.12810414],[ 5.05365345  4.49778608  1.6695037 ],[ 0.1  0.1  0.5]
124,....,[-0.17024239 -0.20669046 -0.1314462 ],[ 4.9927133   4.40751375  1.42449704],[ 0.1  0.1  0.6]
125,....,[-0.17135209 -0.20879094 -0.13418523],[ 4.94373618  4.3303887   1.24298518],[ 0.1  0.1  0.7]
126,....,[-0.17215857 -0.21043208 -0.13651221],[ 4.90271761  4.26297505  1.10300806],[ 0.1  0.1  0.8]
127,....,[-0.17276595 -0.21174395 -0.13854179],[ 4.86730466  4.20302878  0.99170971],[ 0.1  0.1  0.9]
128,....,[-0.17323719 -0.21281011 -0.14034765],[ 4.83601835  4.14900408  0.9010563 ],[ 0.1  0.1  1. ]
129,....,[-0.08678842 -0.10754737 -0.04850789],[  6.32324303   4.38476335  10.47108952],[ 0.1  0.2  0. ]
130,....,[-0.14186561 -0.16987049 -0.10678888],[ 5.17470861  4.03931937  4.6059483 ],[ 0.1  0.2  0.1]
131,....,[-0.15633585 -0.18568015 -0.12171578],[ 4.87085561  3.88411452  3.03822649],[ 0.1  0.2  0.2]
132,....,[-0.16305325 -0.19318897 -0.12916782],[ 4.72161255  3.78224372  2.2830669 ],[ 0.1  0.2  0.3]
133,....,[-0.16689526 -0.19764253 -0.133894  ],[ 4.6298048   3.70596036  1.83438473],[ 0.1  0.2  0.4]
134,....,[-0.16935912 -0.20061415 -0.1372994 ],[ 4.56589373  3.64471983  1.53578684],[ 0.1  0.2  0.5]
135,....,[-0.17105957 -0.20274619 -0.13995423],[ 4.51773473  3.59338166  1.32224904],[ 0.1  0.2  0.6]
136,....,[-0.17229533 -0.20435193 -0.14213591],[ 4.4793888   3.54905552  1.16171788],[ 0.1  0.2  0.7]
137,....,[-0.17322879 -0.20560338 -0.14399658],[ 4.44759796  3.50995581  1.03650952],[ 0.1  0.2  0.8]
138,....,[-0.17395558 -0.20660335 -0.14562723],[ 4.42042137  3.4749028   0.93604828],[ 0.1  0.2  0.9]
139,....,[-0.17453556 -0.20741739 -0.14708587],[ 4.3966284   3.44307656  0.85361246],[ 0.1  0.2  1. ]
140,....,[-0.11004672 -0.13200771 -0.07607217],[ 5.52343246  3.6507448   7.74410233],[ 0.1  0.3  0. ]
141,....,[-0.14671589 -0.17434666 -0.1163851 ],[ 4.7677914   3.44825076  3.92444751],[ 0.1  0.3  0.1]
142,....,[-0.15832002 -0.18702725 -0.12862415],[ 4.52863048  3.34807956  2.70300978],[ 0.1  0.3  0.2]
143,....,[-0.16412211 -0.19330773 -0.13499066],[ 4.40466184  3.28025506  2.07774696],[ 0.1  0.3  0.3]
144,....,[-0.16759957 -0.19708899 -0.13909496],[ 4.32652395  3.22858916  1.69343589],[ 0.1  0.3  0.4]
145,....,[-0.16990828 -0.19962283 -0.14207534],[ 4.27150691  3.1866361   1.43193416],[ 0.1  0.3  0.5]
146,....,[-0.17154688 -0.20143957 -0.14440917],[ 4.22986074  3.15116792  1.24193427],[ 0.1  0.3  0.6]
147,....,[-0.17276632 -0.20280375 -0.14633318],[ 4.19667721  3.12033683  1.09737626],[ 0.1  0.3  0.7]
148,....,[-0.17370671 -0.20386265 -0.14797869],[ 4.16920731  3.09298661  0.98356049],[ 0.1  0.3  0.8]
