No,R,PCC,XYZ,C Blue Red Yellow
663,....,[-0.16645769 -0.16201589 -0.1824065 ],[ 1.25268014  1.29466388  2.68757271],[ 0.9  0.2  0.2]
664,....,[-0.17191139 -0.16796098 -0.18769305],[ 1.13785887  1.22864667  2.0738707 ],[ 0.9  0.2  0.3]
665,....,[-0.17521585 -0.1716835  -0.19102042],[ 1.06671515  1.17983551  1.69302954],[ 0.9  0.2  0.4]
666,....,[-0.13752792 -0.13145201 -0.15537853],[ 1.81328707  1.32840082  5.7398636 ],[ 0.9  0.3  0. ]
667,....,[-0.15899929 -0.15544048 -0.17739929],[ 1.35203654  1.19867667  3.36700051],[ 0.9  0.3  0.1]
668,....,[-0.16765495 -0.16481013 -0.18584434],[ 1.17250157  1.1282351   2.42507946],[ 0.9  0.3  0.2]
669,....,[-0.14510853 -0.14016413 -0.16381386],[ 1.61282483  1.15713934  4.80299615],[ 0.9  0.4  0. ]
670,....,[-0.16157134 -0.15887829 -0.1811599 ],[ 1.25951706  1.06453128  2.99741995],[ 0.9  0.4  0.1]
671,....,[-0.16882509 -0.16683492 -0.18841195],[ 1.10951645  1.01146251  2.21660257],[ 0.9  0.4  0.2]
672,....,[-0.1505606  -0.14638716 -0.16997595],[ 1.46710004  1.03593686  4.13673562],[ 0.9  0.5  0. ]
673,....,[-0.16370322 -0.1615236  -0.18410937],[ 1.185953    0.96599875  2.7070606 ],[ 0.9  0.5  0.1]
674,....,[-0.15469289 -0.15107423 -0.17470258],[ 1.35566973  0.9449977   3.63687612],[ 0.9  0.6  0. ]
675,....,[-0.07166154 -0.05467987 -0.09154449],[  3.41151738   2.9979853   14.30206614],[ 1.  0.  0.]
676,....,[-0.14910365 -0.13124174 -0.15675368],[ 1.7968492   2.19430114  5.51267301],[ 1.   0.   0.1]
677,....,[-0.16602702 -0.14963879 -0.17266205],[ 1.4262072   1.90112638  3.46376689],[ 1.   0.   0.2]
678,....,[-0.17327762 -0.15848732 -0.18041297],[ 1.25730848  1.73117151  2.53510589],[ 1.   0.   0.3]
679,....,[-0.17719879 -0.16388296 -0.18518148],[ 1.15919815  1.61500785  2.00281672],[ 1.   0.   0.4]
680,....,[-0.1795962  -0.16760103 -0.18848906],[ 1.09432632  1.52835211  1.65704422],[ 1.   0.   0.5]
681,....,[-0.11073883 -0.09929966 -0.12954133],[ 2.44927686  1.94077443  9.19028524],[ 1.   0.1  0. ]
682,....,[-0.15304018 -0.14366058 -0.1687996 ],[ 1.5511658   1.6125844   4.45140303],[ 1.   0.1  0.1]
683,....,[-0.16594438 -0.15732024 -0.18075043],[ 1.2790234   1.46239052  2.98539765],[ 1.   0.1  0.2]
684,....,[-0.17216338 -0.16422823 -0.1868245 ],[ 1.14449293  1.36743139  2.25699258],[ 1.   0.1  0.3]
685,....,[-0.17578156 -0.16849242 -0.19060077],[ 1.06334441  1.2991053   1.8185904 ],[ 1.   0.1  0.4]
686,....,[-0.12871467 -0.1201181  -0.14823703],[ 1.99298706  1.50639422  6.90249056],[ 1.   0.2  0. ]
687,....,[-0.15671562 -0.15056355 -0.17576114],[ 1.39271948  1.31900358  3.7823288 ],[ 1.   0.2  0.1]
688,....,[-0.1669482  -0.16147161 -0.1854475 ],[ 1.17922718  1.22321994  2.64976315],[ 1.   0.2  0.2]
689,....,[-0.1722719  -0.16725084 -0.19057581],[ 1.06725747  1.15976072  2.05078422],[ 1.   0.2  0.3]
690,....,[-0.13937784 -0.13246274 -0.15975004],[ 1.71692125  1.2608406   5.56551042],[ 1.   0.3  0. ]
691,....,[-0.15974899 -0.15515502 -0.18054532],[ 1.27864118  1.13696978  3.30861921],[ 1.   0.3  0.1]
692,....,[-0.16812958 -0.16420731 -0.18868989],[ 1.10450871  1.06896277  2.39450488],[ 1.   0.3  0.2]
693,....,[-0.14654025 -0.14071489 -0.167666  ],[ 1.52889495  1.10023256  4.67808354],[ 1.   0.4  0. ]
694,....,[-0.16223656 -0.15850659 -0.18412737],[ 1.1912259   1.01122346  2.95072482],[ 1.   0.4  0.1]
695,....,[-0.15172587 -0.14665468 -0.17349117],[ 1.39130441  0.98582823  4.04225599],[ 1.   0.5  0. ]
